id,character,w_rotation,w_flexion,w_adduction,th_adduction,th_flexion,ix_flexion,middle_flexion,ring_ltl_flexion
0,A,2048,2048,2048,0,2500,4095,4095,4095
1,B,2048,2048,2048,860,3200,0,0,0
2,C,2048,2048,2400,4095,1177,1177,1177,1275
3,D,2048,2048,2048,1050,3200,0,4095,4095
4,E,2048,2048,2048,4095,2158,2500,2500,2500
5,F,2048,2048,2048,2195,2333,4095,0,0
6,G,2048,4095,0,0,1900,0,4095,4095
7,H,2048,4095,0,0,1900,0,0,4095
8,I,2048,2048,2048,2069,2450,4095,4095,0
9,K,2048,2048,2048,1245,2930,0,0,4095
10,L,2048,2048,2048,0,0,0,4095,4095
11,M,2048,2048,2048,1375,4095,3230,3250,4095
12,N,2048,2048,2048,1266,3018,2850,4095,4095
13,O,2048,2400,2048,2800,1562,1945,1836,2385
14,P,2048,2048,1900,3567,1268,0,1668,3378
15,Q,2048,2048,1900,3567,500,1161,4095,4095
16,R,2048,2048,2048,0,0,0,0,0
17,S,2048,2048,2048,2990,2500,4095,4095,4095
18,T,2048,2048,2048,2990,2500,4095,4095,4095
19,U,2048,2048,1000,1152,3605,0,0,4095
20,V,2048,2048,1000,1152,3605,0,0,4095
21,W,2048,2048,2048,0,0,0,0,0
22,X,2048,2048,1000,1152,3605,1128,4095,4095
23,Y,2048,2048,2048,0,0,4095,4095,0
